task,model_set,subset,itemtype,invariance,nfact,n_eff_task,n_items,AIC,BIC,SABIC,logLik,mean_p,median_p,mean_pbis,n_flag_p,n_flag_pb,n_flag_infit,n_flag_zinfit,n_flag_SX2_p01,n_flag_SX2_p001,n_flag_RMSEA_SX2_poor
ha,by_language,de,rasch,scalar,1,227,6,1689.1755143175744,1713.7976845928274,1691.6073080790613,-837.5877571587872,0.2334272986704384,0.16468938740293354,0.27345483023634476,3,1,3,4,4,3,6
ha,by_language,en,rasch,scalar,1,80,6,611.1748135716344,628.1066978262106,606.0269955546311,-298.5874067858172,0.2942120786669714,0.2797858099062918,0.4807814770923124,2,0,2,5,1,1,3
ha,by_language,es,rasch,scalar,1,156,6,1397.690687179184,1421.5722095421693,1399.3880553616543,-691.845343589592,0.18395917111808816,0.16190476190476188,0.31531091269701667,4,1,3,4,3,1,5
hf,by_language,de,2pl,configural,1,410,60,19690.025013748203,19722.93447118686,19697.54536068975,-9837.012506874102,0.7928444787606532,0.7728463730808127,0.5593833213770428,0,0,4,6,1,0,0
hf,by_language,en,2pl,configural,1,107,60,4376.388483181066,4398.485874659447,4373.1970404831745,-2180.194241590533,0.8399862596896684,0.8434782608695652,0.5554304662973412,8,1,19,2,6,1,14
hf,by_language,es,2pl,configural,1,141,60,9443.761141427693,9470.384150778009,9445.03701542252,-4713.880570713846,0.7968244934898945,0.7810798080602903,0.4550967048389066,11,0,19,5,1,1,3
math,by_language,de,rasch,scalar,1,0,333,20502.77867631969,21859.30528724165,20799.388799078126,-9917.389338159845,0.7977972218989604,0.8767772511848341,0.3311613986741419,132,85,0,0,0,0,0
math,by_language,en,rasch,scalar,1,0,149,5465.852604850754,5868.172288919387,5394.2165851674245,-2582.926302425377,0.8091194873372635,0.8536585365853658,0.308845170147191,52,35,0,0,0,0,0
math,by_language,es,rasch,scalar,1,1,190,43131.753407967706,43978.137644617,43371.74351145965,-21374.876703983853,0.7215881470187264,0.7863864681675139,0.2700785438825792,46,54,0,0,0,0,0
matrix,by_language,de,rasch,scalar,1,0,151,13251.377781740075,13874.285072629344,13391.90250590845,-6473.6888908700375,0.4729079835295901,0.4444444444444444,0.24396896907994794,17,62,0,0,0,0,0
matrix,by_language,en,rasch,scalar,1,2,78,4161.646043357521,4378.495681498219,4128.791531609057,-2001.8230216787608,0.3397877542634613,0.2889676113360324,0.17353964978577438,15,43,74,1,0,0,0
matrix,by_language,es,rasch,scalar,1,0,68,4066.3716352409697,4318.63507018754,4099.830194076341,-1964.1858176204848,0.3071427430331963,0.2687165775401069,0.051286463022272404,16,49,0,0,0,0,0
mg,by_language,de,rasch,scalar,1,0,167,8875.321595721705,8978.383915959565,8899.041979565862,-4412.660797860853,0.6215946680693086,0.631578947368421,0.24249828788465969,17,60,0,0,0,0,0
mg,by_language,en,rasch,scalar,1,0,124,2527.173081041838,2595.2438468086734,2519.348515447558,-1239.586540520919,0.6077782630912392,0.6,0.3258766510170074,7,39,0,0,0,0,0
mg,by_language,es,rasch,scalar,1,0,100,2798.8435336551915,2863.03325671202,2799.689573549799,-1379.4217668275958,0.5409245809571349,0.5397225725094578,0.25079996905468016,9,28,0,0,0,0,0
mrot,by_language,de,2pl,scalar,1,70,81,17460.51540714408,17557.990373198354,17481.82870937822,-8706.25770357204,0.7854095239590994,0.7896678966789668,0.25444203439978597,4,28,22,2,1,0,28
mrot,by_language,en,2pl,scalar,1,26,81,4904.5815912850085,4968.729483312094,4892.900648530157,-2428.2907956425042,0.7696585826484268,0.7804878048780488,0.22038488744743331,10,35,42,7,4,1,32
mrot,by_language,es,2pl,scalar,1,7,80,7737.714150964402,7822.036440872361,7745.955921064745,-3844.857075482201,0.7311029057681431,0.7208924949290061,0.22872875237946658,9,32,63,7,0,0,0
sds,by_language,de,2pl,metric,1,0,119,15850.419738446908,15972.541870286983,15877.33850446913,-7895.209869223454,0.8087109869807397,0.8235294117647058,0.25463463801630565,54,56,0,0,0,0,0
sds,by_language,en,2pl,metric,1,0,133,4065.3511514169827,4204.385544256165,4033.8727164854613,-1978.6755757084914,0.7821063781681171,0.7894736842105263,0.22348445642817702,50,62,0,0,0,0,0
sds,by_language,es,2pl,metric,1,0,96,7287.509710819987,7403.807900795245,7296.053631972608,-3609.7548554099935,0.7041141296949595,0.7491442019683354,0.23120275002001975,27,40,0,0,0,0,0
tom,by_language,de,rasch,configural,1,0,37,7891.556452953736,8045.176500633666,7924.590550204272,-3907.778226476868,0.8110357580036672,0.8768472906403941,0.14662630159535203,16,23,0,0,0,0,0
tom,by_language,en,rasch,configural,1,0,33,2417.9161472861483,2496.0809874938386,2395.1274845119606,-1176.9580736430742,0.6984094514037816,0.7450980392156863,0.26242885301182173,7,8,0,0,0,0,0
tom,by_language,es,rasch,configural,1,0,43,8349.342718459295,8470.92498796627,8363.127762726042,-4140.671359229647,0.6221190466258066,0.625,0.23933387598335107,4,16,0,0,0,0,0
trog,by_language,de,rasch,scalar,1,0,95,9307.472703253343,9669.531051073824,9365.034158569315,-4557.736351626671,0.9083488867920856,0.9464882943143813,0.09667306417852863,72,75,0,0,0,0,0
trog,by_language,en,rasch,scalar,1,18,90,3152.4395880142674,3360.871397158771,3074.1281077844087,-1485.2197940071337,0.7863165859420569,0.8473193473193473,0.2314643726328998,22,40,57,2,0,0,14
trog,by_language,es,rasch,scalar,1,0,99,16355.969161195117,16738.273750743418,16421.058339921343,-8077.984580597558,0.7883657341270823,0.8373702422145328,0.2358797389586606,35,32,0,0,0,0,0
vocab,by_language,de,rasch,configural,1,31,158,18548.435552661973,19183.475419603717,18678.95590698617,-9115.217776330986,0.8407282237671306,0.9261417166658402,0.0885854773377558,99,136,119,10,0,0,29
vocab,by_language,en,rasch,configural,1,4,146,4826.680816408837,5152.948449069725,4690.035703928945,-2266.3404082044185,0.6771105256882985,0.7071078431372549,0.1939428410765481,16,61,119,5,0,0,0
vocab,by_language,es,rasch,configural,1,0,163,15524.437928336536,16061.20985594099,15541.682511672503,-7598.218964168268,0.6705872812573173,0.765625,0.20545689682009766,51,76,0,0,0,0,0
